ID,ID_Nivel,ID_Recurso,Papel_Recurso,Obrigatorio,Ordem,Grupo_Equivalencia,Observacoes
NRE001,NIV001,REC001,PRINCIPAL,False,1,,
NRE002,NIV001,REC002,COMPLEMENTAR,False,2,,
NRE003,NIV002,REC003,PRINCIPAL,False,1,,
NRE004,NIV002,REC004,COMPLEMENTAR,False,2,,
NRE005,NIV003,REC005,PRINCIPAL,False,1,,
NRE006,NIV003,REC006,COMPLEMENTAR,False,2,,
NRE007,NIV004,REC007,PRINCIPAL,False,1,,
NRE008,NIV004,REC008,COMPLEMENTAR,False,2,,
NRE009,NIV005,REC009,PRINCIPAL,False,1,,
NRE010,NIV005,REC010,COMPLEMENTAR,False,2,,
NRE011,NIV006,REC011,PRINCIPAL,False,1,,
NRE012,NIV006,REC012,COMPLEMENTAR,False,2,,
NRE013,NIV007,REC013,PRINCIPAL,False,1,,
NRE014,NIV007,REC014,COMPLEMENTAR,False,2,,
NRE015,NIV008,REC015,PRINCIPAL,False,1,,
NRE016,NIV008,REC016,COMPLEMENTAR,False,2,,
NRE017,NIV009,REC017,PRINCIPAL,False,1,,
NRE018,NIV009,REC018,COMPLEMENTAR,False,2,,
NRE019,NIV010,REC019,PRINCIPAL,False,1,,
NRE020,NIV010,REC020,COMPLEMENTAR,False,2,,
NRE021,NIV011,REC021,PRINCIPAL,False,1,,
NRE022,NIV011,REC022,COMPLEMENTAR,False,2,,
NRE023,NIV012,REC023,PRINCIPAL,False,1,,
NRE024,NIV012,REC024,COMPLEMENTAR,False,2,,
NRE025,NIV013,REC025,PRINCIPAL,False,1,,
NRE026,NIV013,REC026,COMPLEMENTAR,False,2,,
NRE027,NIV014,REC027,PRINCIPAL,False,1,,
NRE028,NIV014,REC028,COMPLEMENTAR,False,2,,
NRE029,NIV015,REC029,PRINCIPAL,False,1,,
NRE030,NIV015,REC030,COMPLEMENTAR,False,2,,
NRE031,NIV016,REC031,PRINCIPAL,False,1,,
NRE032,NIV016,REC032,COMPLEMENTAR,False,2,,
NRE033,NIV017,REC033,PRINCIPAL,False,1,,
NRE034,NIV017,REC034,COMPLEMENTAR,False,2,,
NRE035,NIV018,REC035,PRINCIPAL,False,1,,
NRE036,NIV018,REC036,COMPLEMENTAR,False,2,,
NRE037,NIV019,REC037,PRINCIPAL,False,1,,
NRE038,NIV019,REC038,COMPLEMENTAR,False,2,,
NRE039,NIV020,REC039,PRINCIPAL,False,1,,
NRE040,NIV020,REC040,COMPLEMENTAR,False,2,,
NRE041,NIV021,REC041,PRINCIPAL,False,1,,
NRE042,NIV021,REC042,COMPLEMENTAR,False,2,,
NRE043,NIV022,REC043,PRINCIPAL,False,1,,
NRE044,NIV022,REC044,COMPLEMENTAR,False,2,,
NRE045,NIV023,REC045,PRINCIPAL,False,1,,
NRE046,NIV023,REC046,COMPLEMENTAR,False,2,,
NRE047,NIV024,REC047,PRINCIPAL,False,1,,
NRE048,NIV024,REC048,COMPLEMENTAR,False,2,,
NRE049,NIV025,REC049,PRINCIPAL,False,1,,
NRE050,NIV025,REC050,COMPLEMENTAR,False,2,,
NRE051,NIV026,REC051,PRINCIPAL,False,1,,
NRE052,NIV026,REC052,COMPLEMENTAR,False,2,,
NRE053,NIV027,REC053,PRINCIPAL,False,1,,
NRE054,NIV027,REC054,COMPLEMENTAR,False,2,,
NRE055,NIV028,REC055,PRINCIPAL,False,1,,
NRE056,NIV028,REC056,COMPLEMENTAR,False,2,,
NRE057,NIV029,REC057,PRINCIPAL,False,1,,
NRE058,NIV029,REC058,COMPLEMENTAR,False,2,,
NRE059,NIV030,REC059,PRINCIPAL,False,1,,
NRE060,NIV030,REC060,COMPLEMENTAR,False,2,,
NRE061,NIV031,REC061,PRINCIPAL,False,1,,
NRE062,NIV031,REC062,COMPLEMENTAR,False,2,,
NRE063,NIV032,REC063,PRINCIPAL,False,1,,
NRE064,NIV032,REC064,COMPLEMENTAR,False,2,,
NRE065,NIV033,REC065,PRINCIPAL,False,1,,
NRE066,NIV033,REC066,COMPLEMENTAR,False,2,,
NRE067,NIV034,REC067,PRINCIPAL,False,1,,
NRE068,NIV034,REC068,COMPLEMENTAR,False,2,,
NRE069,NIV035,REC069,PRINCIPAL,False,1,,
NRE070,NIV035,REC070,COMPLEMENTAR,False,2,,
